"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"1","ipa","arpa","cons","son","syll","labial","round  ","coronal ","ant","dist","dorsal","high","low","back","tense","pharyn","ATR","voice  ","SG","CG","cont","strident","lateral ","del_rel ","nasal","diph"
"2","t","T","+","-","-","-","0","+","+","-","-","0","0","0","0","-","0","-","-","-","-","-","-","-","-","0"
"3","d","D","+","-","-","-","0","+","+","-","-","0","0","0","0","-","0","+","-","-","-","-","-","-","-","0"
"4","s","S","+","-","-","-","0","+","+","-","-","0","0","0","0","-","0","-","-","-","+","+","-","-","-","0"
"5","z","Z","+","-","-","-","0","+","+","-","-","0","0","0","0","-","0","+","-","-","+","+","-","-","-","0"
"6","θ","TH","+","-","-","-","0","+","+","-","-","0","0","0","0","-","0","-","-","-","+","-","-","-","-","0"
"7","ð","DH","+","-","-","-","0","+","+","-","-","0","0","0","0","-","0","+","-","-","+","-","-","-","-","0"
"8","ʃ ","SH","+","-","-","-","0","+","-","+","-","0","0","0","0","-","0","-","-","-","+","-","-","-","-","0"
"9","ʒ","ZH","+","-","-","-","0","+","-","+","-","0","0","0","0","-","0","+","-","-","+","-","-","-","-","0"
"10","p","P","+","-","-","+","-","-","0","0","-","0","0","0","0","-","0","-","-","-","-","-","-","-","-","0"
"11","b","B","+","-","-","+","-","-","0","0","-","0","0","0","0","-","0","+","-","-","-","-","-","-","-","0"
"12","f","F","+","-","-","+","-","-","0","0","-","0","0","0","0","-","0","-","-","-","+","+","-","-","-","0"
"13","v","V","+","-","-","+","-","-","0","0","-","0","0","0","0","-","0","+","-","-","+","+","-","-","-","0"
"14","k","K","+","-","-","-","0","-","0","0","+","+","-","+","-","-","0","-","-","-","-","-","-","-","-","0"
"15","ɡ","G","+","-","-","-","0","-","0","0","+","+","-","+","-","-","0","+","-","-","-","-","-","-","-","0"
"16","h","HH","-","-","-","-","0","-","0","0","-","0","0","0","0","-","0","-","+","-","+","-","-","-","-","0"
"17","tʃ","CH","+","-","-","-","0","+","-","+","+","+","-","-","-","-","0","-","-","-","±","+","-","+","-","0"
"18","dʒ","JH","+","-","-","-","0","+","-","+","+","+","-","-","-","-","0","+","-","-","±","+","-","+","-","0"
"19","m","M","+","+","-","+","0","-","0","0","-","0","0","0","0","-","0","+","-","-","-","-","-","-","+","0"
"20","n","N","+","+","-","-","0","+","+","-","-","0","0","0","0","-","0","+","-","-","-","-","-","-","+","0"
"21","ŋ","NG","+","+","-","-","0","-","0","0","+","+","-","+","-","-","0","+","-","-","-","-","-","-","+","0"
"22","ɹ","R","+","+","-","-","0","+","+","-","-","0","0","0","0","-","0","+","-","-","+","-","-","-","-","0"
"23","l","L","+","+","-","-","0","+","+","-","-","0","0","0","0","-","0","+","-","-","+","-","+","-","-","0"
"24","ɝ","ER","+","+","+","-","0","+","+","-","-","0","0","0","0","-","0","+","-","-","+","-","-","-","-","0"
"25","j","Y","-","+","-","+","-","-","0","0","+","+","-","-","-","-","0","+","-","-","+","-","-","-","-","0"
"26","w","W","-","+","-","+","+","-","0","0","+","+","-","+","-","-","0","+","-","-","+","-","-","-","-","0"
"27","i","IY","-","+","+","+","-","-","0","0","+","+","-","-","+","+","+","+","-","-","+","-","-","-","-","-"
"28","ɪ","IH","-","+","+","+","-","-","0","0","+","+","-","-","-","+","-","+","-","-","+","-","-","-","-","-"
"29","u","UW","-","+","+","+","+","-","0","0","+","+","-","+","+","+","+","+","-","-","+","-","-","-","-","-"
"30","ʊ","UH","-","+","+","+","+","-","0","0","+","+","-","+","-","+","-","+","-","-","+","-","-","-","-","-"
"31","ɛ","EH","-","+","+","+","-","-","0","0","+","-","-","-","-","+","-","+","-","-","+","-","-","-","-","-"
"32","ɔ","AO","-","+","+","+","+","-","0","0","+","-","-","+","-","+","-","+","-","-","+","-","-","-","-","-"
"33","ɑ","AA","-","+","+","+","-","-","0","0","+","-","+","+","-","+","-","+","-","-","+","-","-","-","-","-"
"34","æ","AE","-","+","+","+","-","-","0","0","+","-","+","-","+","+","-","+","-","-","+","-","-","-","-","-"
"35","ə","AH","-","+","+","+","+","-","0","0","+","-","-","+","-","+","-","+","-","-","+","-","-","-","-","-"
"36","aɪ","AY","-","+","+","+","-","-","0","0","+","+","+","-","0","+","-","+","-","-","+","-","-","-","-","+"
"37","ɔɪ","OY","-","+","+","+","+","-","0","0","+","+","+","-","0","+","-","+","-","-","+","-","-","-","-","+"
"38","eɪ","EY","-","+","+","+","-","-","0","0","+","+","+","-","0","+","-","+","-","-","+","-","-","-","-","+"
"39","aʊ","AW","-","+","+","+","+","-","0","0","+","+","+","+","0","+","-","+","-","-","+","-","-","-","-","+"
"40","oʊ","OW","-","+","+","+","+","-","0","0","+","+","+","+","0","+","-","+","-","-","+","-","-","-","-","+"
